,DocNum,DocContent
58,59,"['The Guardian summed up, ""Bachchan seizes upon his cranky character part, making Bashkor as garrulously funny in his theories on caste and marriage as his system is backed-up.""', 'His campaign included references to issues known to cause religious polarisation, including to Afzal Guru and the killing of Sohrabuddin Sheikh.', 'They have a daughter Sara and a son Arjun whose skills in cricket as a teenager have been receiving attention.', ""In April 2009, Starr performed three songs with McCartney at a benefit concert held at New York's Radio City Music Hall and organised by McCartney."", 'During 1995–96, the project yielded a television miniseries, an eight-volume video set, and three two-CD/three-LP box sets featuring artwork by Klaus Voormann.', 'Bachchan was soon discovered by screenwriter duo Salim-Javed, consisting of Salim Khan and Javed Akhtar.', 'With the exception of the delayed release of Insaniyat (1994), which was also a box office failure, Bachchan did not appear in any new releases for five years.', ""He played a part in India's victory in Mumbai in that series with a fast 55, though Australia took the series 2–1."", ""The Beatles, culled from most of the songs of Parlophone's Please Please Me, but a management shake-up led to the album not being released."", 'Salim Khan also introduced Bachchan to director Manmohan Desai with whom he formed a long and successful association, alongside Prakash Mehra and Yash Chopra.']"
59,60,"['This film released in May 2018 and reunited him with Kapoor onscreen after a gap of twenty-seven years.', 'The songs on which Starr received co-writing credit before 1968, such as ""What Goes On"" and ""Flying"", were also Northern Songs copyrights.', 'Issued in August, the band\'s fourth single, ""She Loves You"", achieved the fastest sales of any record in the UK up to that time, selling three-quarters of a million copies in under four weeks.', 'Salim Khan introduced Bachchan to Prakash Mehra, and Salim-Javed insisted that Bachchan be cast for the role.', 'After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success.', 'The PMO has also issued a letter of acknowledgement which states: ""Prime Minister acknowledges this thoughtful gesture and conveys his gratitude.', 'While campaigning for the 2012 assembly elections, Modi made extensive use of holograms and other technologies allowing him to reach a large number of people, something he would repeat in the 2014 general election.', 'He was also the first player to score 10,000 runs in one-day internationals, and also the first player to cross every subsequent 1000-run mark that has been crossed in ODI cricket history.', 'The film, directed and written by Manoj Kumar, addressed themes of honesty in the face of oppression and financial and emotional hardship and was the top-earning film of 1974.', 'Other commentators such as Mikal Gilmore and Todd Leopold have traced the inception of their socio-cultural impact earlier, interpreting even the Beatlemania period, particularly on their first visit to the United States, as a key moment in the development of generational awareness.']"
60,61,"['However, he returned to the World Cup scoring a century (140 not out off 101 balls) in his very next match against Kenya in Bristol.', 'Although the 1965 song ""Yesterday"" was not the first pop record to employ orchestral strings, it marked the group\'s first recorded use of classical music elements.', 'MacDonald comments, ""while  worked more naturally with the conventionally articulate McCartney, the challenge of catering to Lennon\'s intuitive approach generally spurred him to his more original arrangements, of which \'Being for the Benefit of Mr.', 'It met with mixed reviews, reaching No.', '1 in the US) in Munich provided an opportunity for some guitarists hoping to join the band to work while trying out.', 'Tendulkar now considers the 13 coins he won then as some of his most prized possessions.', 'The group sent a tape of their best recordings to Korner, who was favourably impressed.', ""From what began as the Beatlemania fad, the group's popularity grew into what was seen as an embodiment of sociocultural movements of the decade."", ""The album consisted of 12 blues covers of artists like Howlin' Wolf, Jimmy Reed and Little Walter."", 'Modi, on the selection committee for the 1998 Assembly elections in Gujarat, favoured supporters of BJP leader Keshubhai Patel over those supporting Vaghela to end factional division in the party.']"
61,62,"['Tendulkar is a practising Hindu.', ""By January 1959, Lennon's Quarry Bank friends had left the group, and he began his studies at the Liverpool College of Art."", ""So it was, 'Right we'll go and strip this thing down.'"", 'The US version, released in February as The Rolling Stones, Now!, reached No.', ""Foreign policy played a relatively small role in Modi's election campaign, and did not feature prominently in the BJP's election manifesto."", 'Abandoning the customary group photograph, its cover – designed by Klaus Voormann, a friend of the band since their Hamburg days – ""was a stark, arty, black-and-white collage that caricatured the Beatles in a pen-and-ink style beholden to Aubrey Beardsley"", in Gould\'s description.', '3 in the UK and No.', 'The album caught the attention of music critic William Mann of The Times, who suggested that Lennon and McCartney were ""the outstanding English composers of 1963"".', 'The Rolling Stones have sold over 240 million albums worldwide and have held over 48 tours of varying length, including three of the highest-grossing tours of all time: Bridges to Babylon Tour, Voodoo Lounge Tour, and A Bigger Bang Tour.', 'He followed this by scoring a century in his first Deodhar and Duleep Trophies, which are also Indian domestic tournaments.']"
62,63,"[""In the United States, the six songs were issued on an identically titled LP that also included five tracks from the band's recent singles."", '37 in the UK and No.', ""While many of Rubber Soul's prominent songs were the product of Lennon and McCartney's collaborative songwriting, it also featured distinct compositions from each, though they continued to share official credit."", 'It was the Stones first album for CBS with an outside producer, Steve Lillywhite.', 'There is a change between material on Satanic Majesties and Beggars Banquet.', 'He also demanded they cease work at Twickenham Film Studios, where the sessions had begun, and relocate to the newly finished Apple Studio.', ""The charges against Tendulkar and Sehwag's ban for excessive appealing triggered a massive backlash from the Indian public."", 'The subsequent Bridges to Babylon Tour, which crossed Europe, North America and other destinations, proved the band remained a strong live attraction.', 'During the 2012 campaign, Modi attempted to identify himself with the state of Gujarat, a strategy similar to that used by Indira Gandhi during the Emergency, and projected himself as protecting Gujarat against persecution by the rest of India.', 'He is the only player to have scored one hundred international centuries, the first batsman to score a double century in an ODI, the holder of the record for the most runs in both Test and ODI, and the only player to complete more than 30,000 runs in international cricket.']"
63,64,"[""According to Gould, Beatles for Sale, the Beatles' fourth studio LP, evidenced a growing conflict between the commercial pressures of their global success and their creative ambitions."", 'Hyde Park Live, a live album recorded at the two Hyde Park gigs on 6 and 13 July, was released exclusively as a digital download through iTunes later that month.', 'Gould observes: ""The more traditional sound of strings allowed for a fresh appreciation of their talent as composers by listeners who were otherwise allergic to the din of drums and electric guitars.""', 'In 2004, a double live album of the Licks Tour, Live Licks, was released and certified gold in the US.', 'Aftermath also contained ""Goin\' Home"", a nearly 12-minute-long song that included elements of jamming and improvisation.', 'In early 2009, India revisited Sri Lanka for five ODIs, as the Pakistan series had been cancelled due to the security situation in Pakistan and the attacks in Mumbai.', ""He became the first Prime Minister born after India's independence from the British Empire."", 'Jagger, recalling when he first heard the likes of Chuck Berry, Bo Diddley, Muddy Waters, Fats Domino, and other major American R&B artists, said it ""seemed the most real thing"" he had heard up to that point.', 'At the same time another effort to reunite the Beatles for the same cause was sponsored by United Nations Secretary-General Kurt Waldheim.', ""India went on to record a historic triumph at the WACA, ending Australia's run of 16 consecutive wins.""]"
64,65,"['He secured the Man of the Match award.', ""The Stones' success on the British and American singles charts peaked during the 1960s."", 'The Yellow Submarine LP, issued in January 1969, contained only the four previously unreleased songs that had debuted in the film, along with the title track (already issued on Revolver), ""All You Need Is Love"" (already issued as a single and on the US Magical Mystery Tour LP) and seven instrumental pieces composed by Martin.', ""The band's concert at San Francisco's Candlestick Park on 29 August was their last commercial concert."", '16 in the UK and No.', 'The Rolling Stones have sold over 240 million albums worldwide and have held over 48 tours of varying length, including three of the highest-grossing tours of all time: Bridges to Babylon Tour, Voodoo Lounge Tour, and A Bigger Bang Tour.', 'In August and September they returned to the US, with a 30-concert tour of 23 cities.', ""Modi's administration passed a land-reform bill that allowed it to acquire private agricultural land without conducting a social impact assessment, and without the consent of the farmers who owned it."", 'Albert and David Maysles documented part of the tour and the Altamont concert in their film Gimme Shelter.', 'He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.']"
65,66,"['However, he was out when India needed 17 more runs to win, triggering a batting collapse, and India lost the match by 12 runs.', 'In March 1978, an environmental group called Project Interspeak announced to the media that they were planning a concert to raise money for anti-whaling efforts and suggested the Beatles would participate.', 'From small clubs and hotels in London with little room for Jagger to move around to selling out stadiums worldwide, Rolling Stones tours have changed significantly over the decades.', ""Reportedly, their marriage was never consummated, and he kept it a secret because otherwise he could not have become a 'pracharak' in the puritan Rashtriya Swayamsevak Sangh."", 'On 4 July, the first solo single by a Beatle was released: Lennon\'s ""Give Peace a Chance"", credited to the Plastic Ono Band.', 'The Stones needed a new guitarist, and the recording sessions for the next album, Black and Blue (1976) (No.', 'Anandiben Patel succeeded him as the chief minister.', 'After years of deliberation he decided to leave the band, although his retirement was not made official until January 1993.', 'Other psychedelic numbers followed, such as ""Tomorrow Never Knows"" (recorded before ""Rain""), ""Strawberry Fields Forever"", ""Lucy in the Sky with Diamonds"" and ""I Am the Walrus"".', 'He had declined Jagger\'s earlier offer to join the Stones, because of his commitment to the Faces, saying ""that\'s what\'s really important to me"".']"
66,67,"[""Former India World Cup winning captain and all-rounder Kapil Dev has also voiced his opinion that Sachin should have retired from ODI's after the World Cup."", 'Initially lacking a majority in the Rajya Sabha, or upper house of Indian Parliament, Modi passed a number of ordinances to enact his policies, leading to further centralisation of power.', 'The broadcast, engineered by Thinking Pictures and financed by Sun Microsystems, was one of the first demonstrations of streaming video; while it was not a true webcast, it introduced many to the technology.', ""In 1964 two unscientific opinion polls rated the band as Britain's most popular group, outranking even the Beatles."", 'According to Gould, the Beatles changed the way people listened to popular music and experienced its role in their lives.', ""The band's primary songwriters, Jagger and Richards, assumed leadership after Andrew Loog Oldham became the group's manager."", 'Describing the double album, Lennon later said: ""Every track is an individual track; there isn\'t any Beatle music on it.', 'As a child, Modi helped his father sell tea at the Vadnagar railway station, and said that he later ran a tea stall with his brother near a bus terminus.', 'Unterberger says of the US Magical Mystery Tour, ""the psychedelic sound is very much in the vein of Sgt.', 'Reviewers took note and credited the album\'s ""traditionalist"" sounds to the Rolling Stones\' new producer Don Was.']"
67,68,"['Further conflict ensued, however, and financial opportunities were lost.', ""Originally intended for a one-hour television programme to be called Beatles at Work, in the event much of the album's content came from studio work beginning in January 1969, many hours of which were captured on film by director Michael Lindsay-Hogg."", 'Modi spent the ensuing two years travelling across Northern and North-eastern India, though few details of where he went have emerged.', 'It reached No.', 'Modi, on the selection committee for the 1998 Assembly elections in Gujarat, favoured supporters of BJP leader Keshubhai Patel over those supporting Vaghela to end factional division in the party.', ""Sticky Fingers' cover was the first to feature the logo of Rolling Stones Records, which effectively became the band's logo."", 'Tendulkar would practice for hours on end in the nets.', ""He'd tell us that jeans were not particularly smart and could we possibly manage to wear proper trousers, but he didn't want us suddenly looking square."", 'Although originally released to cinemas in 1974, it had never been available for home release apart from bootleg recordings.', 'The Stones played nineteen shows in the U.S. in spring 2013, before returning to the UK.']"
68,69,"['During the early Stones\' releases, Richards was typically credited as ""Richard"".', 'Revolver featured sophisticated songwriting, studio experimentation, and a greatly expanded repertoire of musical styles, ranging from innovative classical string arrangements to psychedelic rock.', 'No arrests were made at the time, but Jagger, Richards and their friend art dealer Robert Fraser were subsequently charged with drug offences.', 'Two days after the article was published Jagger filed a writ for libel against the News of the World.', 'Equipment-wise, his bats tend to be heavier than the average batman.', 'The record received some airplay in the Tidewater area of Virginia by Gene Loving of radio station WGH and was featured on the ""Rate-a-Record"" segment of American Bandstand, but it failed to catch on nationally.', 'In 2017, Gallup International Association (GIA) conducted a poll and ranked Modi as third top leader of the world.', 'As Modi rose to prominence in India, the UK and the EU lifted their bans in October 2012 and March 2013, respectively, and after his election as prime minister he was invited to Washington.', 'And the words were almost irrelevant.""', 'Bill Wyman wrote and sang a track on the album: ""In Another Land"", also released as a single, the first on which Jagger did not sing lead.']"
69,70,"['The Rolling Stones have inspired and mentored new generations of musical artists both as a band and individually.', 'This live performance was recorded during one show in Ft. Worth, Texas in support of their 1978 US Tour and their album Some Girls.', 'Of Presley, Lennon said, ""Nothing really affected me until I heard Elvis.', 'Show, which showcased American acts with British Invasion artists.', ""They ranked number one on Billboard magazine's list of the all-time most successful Hot 100 artists, released in 2008 to celebrate the US singles chart's 50th anniversary."", 'The merger made the new company, then valued at over half a billion dollars, the third largest music publisher in the world.', 'India did not progress to the final, which was won by Pakistan, and refused to participate the next time the championship was held due to increasing political tensions between India and Pakistan.', 'He won in both constituencies, defeating Aam Aadmi Party leader Arvind Kejriwal in Varanasi and Madhusudan Mistry of the INC in Vadodara by 570,128 votes.', 'By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.', 'On 27 February 2002, a train with several hundred passengers burned near Godhra, killing approximately 60 people.']"
70,71,"['In 1984, Bachchan took a break from acting and briefly entered politics in support of a long-time family friend, Rajiv Gandhi.', ""ABCL's operations were mainstream commercial film production and distribution, audio cassettes and video discs, production and marketing of television software, and celebrity and event management."", 'That same year McCartney, Harrison and Starr collaborated on the Anthology project.', 'Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn\'t.', 'At the same event, Modi was presented with the Key to the City of Houston by Mayor Sylvester Turner.', 'Sachin rested himself for the ODI tri-series in Bangladesh in 2010, but played in the subsequent Test series.', 'The next day, the Vishwa Hindu Parishad called for a bandh across the state.', ""His ancestors on his father's side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India."", 'He had become a common conversation point in local cricketing circles, where there were suggestions already that he would become one of the greats.', 'Nearly 45 percent of children under five were underweight and 23 percent were undernourished, putting the state in the ""alarming"" category on the India State Hunger Index.']"
71,72,"['He then played his first antagonist role as an infatuated lover-turned-murderer in Parwana (1971).', 'The girls hang on to him with incredulous desperation, and he bats for them with all he has.', 'His first year as prime minister saw significant centralisation of power relative to previous administrations.', 'It represents a new category of song – more sophisticated than pop\xa0... and uniquely innovative.', 'The sixth season was also hosted by Bachchan, commencing on 7 September 2012, broadcast on Sony TV and received the highest number of viewers thus far.', 'During the campaign, Modi focused on the corruption scandals under the previous INC government, and played on his image as a politician who had created a high rate of GDP growth in Gujarat.', 'He co-starred with Rishi Kapoor in 102 Not Out, a comedy-drama film directed by Umesh Shukla based on a Gujarati play of the same name written by Saumya Joshi.', 'Chasing 387 for victory in that match, Tendulkar scored 103 not out and shared a 163-run unbroken fifth wicket partnership with Yuvraj Singh.', 'He was the highest run scorer of the 1996 Cricket World Cup with a total of 523 runs and also of the 2003 Cricket World Cup with 673 runs.', 'He won the Maninagar constituency, receiving 113,589 of 154,981 votes and defeating INC candidate Yatin Oza by 75,333 votes.']"
72,73,"[""Modi rose within the party and was named a member of the BJP's National Election Committee in 1990, helping organise L. K. Advani's 1990 Ram Rath Yatra in 1990 and Murli Manohar Joshi's 1991–92 Ekta Yatra (Journey for Unity)."", 'Chappell subsequently resigned as coach but said that this affair had no bearing on his decision and that he and Tendulkar were on good terms.', 'His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor.', ""While Modi was training with the RSS, he also met Vasant Gajendragadkar and Nathalal Jaghda, Bharatiya Jana Sangh leaders who were founding members of the BJP's Gujarat unit in 1980."", 'The nomination of Modi for the prime ministership drew attention to his reputation as ""one of contemporary India\'s most controversial and divisive politicians.""', 'By early July, they had refashioned themselves as the Silver Beatles, and by the middle of August shortened the name to The Beatles.', 'Nevertheless, he resumed filming later that year after a long period of recuperation.', 'He was named ""Hottest Vegetarian"" by PETA India in 2012.', ""He was handpicked to play for the team by the then Bombay captain Dilip Vengsarkar after watching him easily negotiating India's best fast bowler at the time, Kapil Dev, in the Wankhede Stadium nets, where the Indian team had come to play against the touring New Zealand team."", 'He bickers with the maids, harrows his hapless helper, and expects that Piku stay unmarried so she can attend to him.']"
73,74,"['Legal disputes continued long after their break-up, and the dissolution was not formalised until 29 December 1974, when Lennon signed the paperwork terminating the partnership while on vacation with his family at Walt Disney World Resort in Florida.', 'The RSS assigned him to the BJP in 1985 and he held several positions within the party hierarchy until 2001, rising to the rank of general secretary.', 'As part of the programme, the Indian government began constructing millions of toilets in rural areas and encouraging people to use them.', 'Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.', ""In 2017, he appeared in the third instalment of the Sarkar film series: Ram Gopal Varma's Sarkar 3."", 'When Tendulkar took over as captain in 1996, it was with huge hopes and expectations.', 'Salim Khan also introduced Bachchan to director Manmohan Desai with whom he formed a long and successful association, alongside Prakash Mehra and Yash Chopra.', 'Then he decided to play in the knockout stage of the 2012-13 Ranji Trophy.', 'Apart from National Film Awards, Filmfare Awards and other competitive awards which Bachchan won for his performances throughout the years, he has been awarded several honours for his achievements in the Indian film industry.', 'Modi continued Manmohan Singh\'s policy of ""multi-alignment.""']"
74,75,"[""At one point Meenal hangs by Bachchan's elbow, words entirely unnecessary."", 'Later in 2002, Modi said the way in which he had handled the media was his only regret regarding the episode.', 'He was framed in the scam and falsely alleged.', 'It was also his fourth hundred in successive Tests, and he was the fourth Indian to achieve this feat.', 'The knock was nominated to be one of the Test Batting Performance of the year by ESPNCricinfo.', 'Modi travelled around India for two years and visited a number of religious centres before returning to Gujarat.', 'Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead.', ""He has hosted several seasons of the game show Kaun Banega Crorepati, India's version of the game show franchise, Who Wants to Be a Millionaire?."", ""Modi, who was unanimously elected leader of the BJP, was appointed prime minister by India's president."", 'Referring to the Beach Boys\' creative leader, Martin later stated: ""No one made a greater impact on the Beatles than Brian .""']"
75,76,"['The Stones followed the Famous Flames, featuring James Brown, in the theatrical release of the 1964 film T.A.M.I.', 'In 2013, Gujarat was ranked first among Indian states for ""economic freedom"" by a report measuring governance, growth, citizens\' rights and labour and business regulation among the country\'s 20 largest states.', 'The album debuted at No.', 'Back in New York the following day, the Beatles met with another strong reception during two shows at Carnegie Hall.', 'In the final against Saurashtra, he was run out for 22 following a misunderstanding with Wasim Jaffer.', 'The following year, the band wanted out of contracts with both Klein and Decca, but still owed them a Jagger/Richards credited single.', ""This was Tendulkar's sixth century in a final of an ODI tournament and his third consecutive score of over 50 in such finals."", 'In January 1968, the Beatles filmed a cameo for the animated movie Yellow Submarine, which featured cartoon versions of the band members and a soundtrack with eleven of their songs, including four unreleased studio recordings that made their debut in the film.', ""The tribute event took place at the Royal Albert Hall on the first anniversary of Harrison's death."", ""They were also collectively included in Time magazine's 20th century compilation of the Most Important People of the Century.""]"
76,77,"['Recorded between July and October, With the Beatles made better use of studio production techniques than its predecessor.', 'He and Harrison subsequently became regular users of the drug, joined by Starr on at least one occasion.', 'The song ""In My Life"", of which each later claimed lead authorship, is considered a highlight of the entire Lennon–McCartney catalogue.', 'The budgetary allocation for the Sarva Shiksha Abhiyan, or the ""education for all"" programme, declined by 22%.', 'He returned to form in the last Test scoring 41 and 86, one half century.', 'His previous clients, the Beatles, directed the former publicist to the band.', 'The album contains one of their best-known hits, ""Brown Sugar"", and the country-influenced ""Dead Flowers"".', 'His drug use had become a hindrance, and he was unable to obtain a US visa.', 'Of the 1.25 million shares put up for sale, Harrison and Starr each acquired 40,000.', 'Then he decided to play in the knockout stage of the 2012-13 Ranji Trophy.']"
77,78,"[""This was one of Jagger's first solo performances, and the song reached No."", 'Documents reveal that for their subsequent US tours in 1965 and 1966, the Beatles included clauses in contracts stipulating that shows be integrated.', 'He is the youngest recipient to date and the first ever sportsperson to receive the award.', 'Live at the BBC, the first official release of unissued Beatles performances in seventeen years, appeared in 1994.', 'We know what we mean by them.', ""By McCartney's account, he and Ono countered with a £5 million bid that was rejected."", 'This represented a shift away from the policy of the previous Congress government, which had supported programmes to assist public health goals, including reducing child and maternal mortality rates.', 'Decca Records, which had declined to sign a deal with the Beatles, gave the Rolling Stones a recording contract with favourable terms.', 'He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory.', 'The concert, their first with new guitarist Mick Taylor, was performed in front of an estimated 250,000 fans.']"
78,79,"['Watts released two jazz albums; Wood recorded his fifth solo album, the first in 11 years, called Slide On This; Wyman released his fourth solo album; Richards released his second solo album in late 1992, Main Offender and did a small tour including big concerts in Spain and Argentina.', 'The band has been the subject of numerous documentaries and were inducted into the Rock and Roll Hall of Fame by Pete Townshend in 1989.', ""The album's elaborate cover also attracted considerable interest and study."", ""Modi's policies to make Gujarat attractive for investment included the creation of Special Economic Zones, where labour laws were greatly weakened."", '3 in the UK and No.', 'Explaining this change in his batting style, he has acknowledged that he is batting differently because, firstly, no batsman can bat the same way for the entire length of a long career and, secondly, he is a senior member of the team now and thus has more responsibility.', ""Tendulkar's two tenures as captain of the Indian cricket team were not very successful."", 'During the next two years, the Beatles were resident for periods in Hamburg, where they used Preludin both recreationally and to maintain their energy through all-night performances.', 'The resulting riots endangered the group and they escaped the country with difficulty.', 'The Beatles are regarded as British cultural icons, with young adults from abroad naming the band among a group of people that they most associated with UK culture.']"
79,80,"['Tendulkar took up cricket at the age of eleven, made his Test debut on 15 November 1989 against Pakistan in Karachi at the age of sixteen, and went on to represent Mumbai domestically and India internationally for close to twenty-four years.', 'Greeted with riotous enthusiasm by screaming fans, the press dubbed the phenomenon ""Beatlemania"".', 'McCartney has said, ""We\'d had our cute period, and now it was time to expand.""', 'In December 1980, Lennon was shot and killed outside his New York City apartment.', 'One version had a large Venetian (cylindrical) curtain, and the other had leaves that began in a folded up position and opened during the beginning of the concert.', 'In the subsequent one-day series against England, Tendulkar was the leading run scorer from India with an average of 53.42.', 'In 2010, the official canon of thirteen Beatles studio albums, Past Masters, and the ""Red: and ""Blue"" greatest-hits albums were made available on iTunes.', 'It quickly and deservedly became the most famous logo in the history of popular music.""', 'The album has sold more than 7 million copies worldwide.', 'At the end of his third year in office, a further Pew Research poll showed Modi with an overall approval rating of 88%, his highest yet, with 69% of people polled rating him ""very favorably.""']"
